Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
BCC-NEO-C2,BCC-NEO-C2-P1,🔨 Scénariser des formations,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #0066cc;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<p><kbd><strong>🔨 APPRENTISSAGE CRITIQUE (ATTENDU...)</strong></kbd><br><strong>Sc&eacute;narise</strong> des formations, <strong>planifie </strong>les ressources p&eacute;dagogiques et<strong> met en place </strong>des dispositifs d&rsquo;&eacute;valuation adapt&eacute;s.</p>
</div>
</div>
</div>
</div>
</div>",,,,,,,,,,
BCC-NEO-C2,BCC-NEO-C2-P2,🔨 Concevoir et diffuser des ressources,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #0066cc;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<p><kbd><strong>🔨 APPRENTISSAGE CRITIQUE (ATTENDU...)</strong></kbd><br><strong>Con&ccedil;oit</strong> et <strong>diffuse </strong>des ressources p&eacute;dagogiques num&eacute;riques multimodales.</p>
</div>
</div>
</div>
</div>
</div>",,,,,,,,,,
BCC-NEO-C2,BCC-NEO-C2-P3,🔨 Créer des environnements de formation,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #0066cc;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<p><kbd><strong>🔨 APPRENTISSAGE CRITIQUE (ATTENDU...)</strong></kbd><br><strong>Cr&eacute;&eacute; </strong>des environnements de formation hybrides et optimis&eacute;s.</p>
</div>
</div>
</div>
</div>
</div>",,,,,,,,,,
BCC-NEO-C2,BCC-NEO-C2-P4,🔨 Mobiliser des technologies,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #0066cc;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<p><kbd><strong>🔨 APPRENTISSAGE CRITIQUE (ATTENDU...)</strong></kbd><br><strong>Mobilise </strong>des technologies &eacute;mergentes et l&rsquo;intelligence artificielle g&eacute;n&eacute;rative (IAg) dans le cadre de la transformation p&eacute;dagogique.</p>
</div>
</div>
</div>
</div>
</div>",,,,,,,,,,
BCC-NEO-C2,BCC-NEO-C2-P5,🔨 Appliquer les fondamentaux de la conception,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #0066cc;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<p><kbd><strong>🔨 APPRENTISSAGE CRITIQUE (ATTENDU...)</strong></kbd><br><strong>Applique</strong> les fondamentaux de la conception de sites web vitrines et/ou dynamiques et interactifs.</p>
</div>
</div>
</div>
</div>
</div>",,,,,,,,,,
BCC-NEO-C3,BCC-NEO-C3-P1,🔨 Mobiliser la gestion collaborative de projets,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #cf2f44;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<p><kbd><strong>🔨 APPRENTISSAGE CRITIQUE (ATTENDU...)</strong></kbd><br><strong>Mobilise </strong>la gestion collaborative de projets d'e-formation et de transformation num&eacute;rique.</p>
</div>
</div>
</div>
</div>
</div>",,,,,,,,,,
BCC-NEO-C3,BCC-NEO-C3-P2,🔨 Mener une modélisation et un cadrage de projets,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #cf2f44;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<p><kbd><strong>🔨 APPRENTISSAGE CRITIQUE (ATTENDU...)</strong></kbd><br><strong>M&egrave;ne </strong>une mod&eacute;lisation et un cadrage de projets de e-formation.</p>
</div>
</div>
</div>
</div>
</div>",,,,,,,,,,
BCC-NEO-C3,BCC-NEO-C3-P3,🔨 Utilise les technologies et outils de gestion de formation et des apprentissages,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #cf2f44;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<p><kbd><strong>🔨 APPRENTISSAGE CRITIQUE (ATTENDU...)</strong></kbd><br><strong>Utilise </strong>les technologies et outils de gestion de formation et des apprentissages.</p>
</div>
</div>
</div>
</div>
</div>",,,,,,,,,,
BCC-NEO-C3,BCC-NEO-C3-P4,🔨 Communiquer efficacement en interne et en externe,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #cf2f44;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<p><kbd><strong>🔨 APPRENTISSAGE CRITIQUE (ATTENDU...)</strong></kbd><br><strong>Communique </strong>efficacement en interne et en externe dans le cadre d&rsquo;une e-formation.</p>
</div>
</div>
</div>
</div>
</div>",,,,,,,,,,
BCC-NEO-C3,BCC-NEO-C3-P5,🔨 Adopter une approche réflexive et procéder à une autoévaluation constructive,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #cf2f44;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<p><kbd><strong>🔨 APPRENTISSAGE CRITIQUE (ATTENDU...)</strong></kbd><br><strong>Adopte </strong>une approche r&eacute;flexive et <strong>proc&eacute;de </strong>&agrave; une auto&eacute;valuation constructive.</p>
</div>
</div>
</div>
</div>
</div>",,,,,,,,,,
BCC-NEO-C4,BCC-NEO-C4-P1,🔨 Mobiliser des savoirs de la recherche dans un domaine de travail ou d'études,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #00693c;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<p><kbd><strong>🔨 APPRENTISSAGE CRITIQUE (ATTENDU...)</strong></kbd><br><strong>Mobilise </strong>des savoirs de la recherche dans un domaine de travail ou d'&eacute;tudes</p>
</div>
</div>
</div>
</div>
</div>",,,,,,,,,,
BCC-NEO-C4,BCC-NEO-C4-P2,🔨 Approfondir une problématique par la mise en œuvre d’une démarche scientifique et méthodologique,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #00693c;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<p><kbd><strong>🔨 APPRENTISSAGE CRITIQUE (ATTENDU...)</strong></kbd><br><strong>Approfondie </strong>une probl&eacute;matique par la mise en oeuvre d&rsquo;une d&eacute;marche scientifique et m&eacute;thodologique rigoureuse et critique</p>
</div>
</div>
</div>
</div>
</div>",,,,,,,,,,
BCC-NEO-C4,BCC-NEO-C4-P3,"🔨 Restituer son travail de manière claire, rigoureuse et synthétique à l’oral comme à l’écrit","<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #00693c;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<p><kbd><strong>🔨 APPRENTISSAGE CRITIQUE (ATTENDU...)</strong></kbd><br><strong>Restitue </strong>son travail de mani&egrave;re claire, rigoureuse et synth&eacute;tique &agrave; l&rsquo;oral comme &agrave; l&rsquo;&eacute;crit</p>
</div>
</div>
</div>
</div>
</div>",,,,,,,,,,
BCC-NEO-C4,BCC-NEO-C4-P4,"🔨 Respecte les principes d'éthique, de déontologie, de responsabilité, d'intégrité","<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #00693c;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<p><kbd><strong>🔨 APPRENTISSAGE CRITIQUE (ATTENDU...)</strong></kbd><br><strong>Respecte </strong>les principes d'&eacute;thique, de d&eacute;ontologie, de responsabilit&eacute; environnementale et d'int&eacute;grit&eacute; scientifique</p>
</div>
</div>
</div>
</div>
</div>",,,,,,,,,,
BCC-NEO-C4,BCC-NEO-C4-P5,🔨 Exploiter de manière autonome les outils numériques adaptés aux secteurs de recherche du domaine,"<div class=""container"" style=""border: solid 4px black; padding-top: 1em; background: #00693c;"">
<div class=""row"">
<div class=""col-md-12"">
<div class=""card mb-3"">
<div class=""card-body"" style=""text-align: justify;"">
<p><kbd><strong>🔨 APPRENTISSAGE CRITIQUE (ATTENDU...)</strong></kbd><br><strong>Exploite </strong>de mani&egrave;re autonome les outils num&eacute;riques adapt&eacute;s aux secteurs de recherche du domaine</p>
</div>
</div>
</div>
</div>
</div>",,,,,,,,,,
