"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
MEEF-AM2,MEEF-AM2-N4,"⭐⭐⭐⭐ Avancé","<p dir=""ltr"" style=""text-align:left;"">Démontre la capacité à mobiliser les compétences visées de manière inter-reliée pour appréhender et gérer un contexte professionnel complexe, à faire preuve d’ingéniosité pédagogique pour faire évoluer le cadre dans le respect des principes éthiques.<br /></p>",1,,,,0,null,,357,,
,MEEF-AM3,AM3,"<p dir=""ltr"" style=""text-align:left;""><span>Exploite les possibilités offertes par les outils et les environnements numériques pour actualiser ses connaissances et communiquer avec ses pairs</span><br /></p>",1,,,,0,null,,358,,
MEEF-AM3,MEEF-AM3-N1,"⭐ Novice","<p dir=""ltr"" style=""text-align:left;"">Applique le cadre qui lui est fixé pour exercer les compétences visées mais n’est pas en mesure d’opérer, de manière intentionnelle et récurrente, des choix pertinents dans les situations professionnelles rencontrées. Il en appréhende les principaux éléments mais il a besoin de soutien ou de conseil pour construire son enseignement ou ajuster son comportement de manière autonome et responsable.<br /></p>",1,,,,0,null,,359,,
MEEF-AM3,MEEF-AM3-N2,"⭐⭐ Intermédiaire","<p dir=""ltr"" style=""text-align:left;"">Maîtrise suffisamment les bases des compétences visées pour agir de façon autonome, anticiper et faire les choix professionnels appropriés. La pertinence de son travail est repérée dans la plupart des situations qu’il rencontre, ainsi que sa déontologie et sa capacité à s’autoévaluer pour améliorer sa pratique.<br /></p>",1,,,,0,null,,360,,
MEEF-AM3,MEEF-AM3-N3,"⭐⭐⭐ Compétent","<p dir=""ltr"" style=""text-align:left;"">Exerce les compétences visées de manière combinée avec efficacité sur la durée. Il opère les choix pertinents et les met en oeuvre de manière efficace et adaptée à la situation professionnelle rencontrée, y compris une situation imprévisible.<br /></p>",1,,,,0,null,,361,,
MEEF-AM3,MEEF-AM3-N4,"⭐⭐⭐⭐ Avancé","<p dir=""ltr"" style=""text-align:left;"">Démontre la capacité à mobiliser les compétences visées de manière inter-reliée pour appréhender et gérer un contexte professionnel complexe, à faire preuve d’ingéniosité pédagogique pour faire évoluer le cadre dans le respect des principes éthiques.<br /></p>",1,,,,0,null,,362,,
,MEEF-AM4,AM4,"<p dir=""ltr"" style=""text-align:left;""><span>Exerce une veille à visée de formation / information en lien avec son métier</span><br /></p>",1,,,,0,null,,363,,
MEEF-AM4,MEEF-AM4-N1,"⭐ Novice","<p dir=""ltr"" style=""text-align:left;"">Applique le cadre qui lui est fixé pour exercer les compétences visées mais n’est pas en mesure d’opérer, de manière intentionnelle et récurrente, des choix pertinents dans les situations professionnelles rencontrées. Il en appréhende les principaux éléments mais il a besoin de soutien ou de conseil pour construire son enseignement ou ajuster son comportement de manière autonome et responsable.<br /></p>",1,,,,0,null,,364,,
MEEF-AM4,MEEF-AM4-N2,"⭐⭐ Intermédiaire","<p dir=""ltr"" style=""text-align:left;"">Maîtrise suffisamment les bases des compétences visées pour agir de façon autonome, anticiper et faire les choix professionnels appropriés. La pertinence de son travail est repérée dans la plupart des situations qu’il rencontre, ainsi que sa déontologie et sa capacité à s’autoévaluer pour améliorer sa pratique.<br /></p>",1,,,,0,null,,365,,
MEEF-AM4,MEEF-AM4-N3,"⭐⭐⭐ Compétent","<p dir=""ltr"" style=""text-align:left;"">Exerce les compétences visées de manière combinée avec efficacité sur la durée. Il opère les choix pertinents et les met en oeuvre de manière efficace et adaptée à la situation professionnelle rencontrée, y compris une situation imprévisible.<br /></p>",1,,,,0,null,,366,,
MEEF-AM4,MEEF-AM4-N4,"⭐⭐⭐⭐ Avancé","<p dir=""ltr"" style=""text-align:left;"">Démontre la capacité à mobiliser les compétences visées de manière inter-reliée pour appréhender et gérer un contexte professionnel complexe, à faire preuve d’ingéniosité pédagogique pour faire évoluer le cadre dans le respect des principes éthiques.<br /></p>",1,,,,0,null,,367,,
,MEEF-AM5,AM5,"<p dir=""ltr"" style=""text-align:left;""><span>Mobilise les savoirs disciplinaires nécessaires à l’exercice du métier visé</span><br /></p>",1,,,,0,null,,368,,
MEEF-AM5,MEEF-AM5-N1,"⭐ Novice","<p dir=""ltr"" style=""text-align:left;"">Applique le cadre qui lui est fixé pour exercer les compétences visées mais n’est pas en mesure d’opérer, de manière intentionnelle et récurrente, des choix pertinents dans les situations professionnelles rencontrées. Il en appréhende les principaux éléments mais il a besoin de soutien ou de conseil pour construire son enseignement ou ajuster son comportement de manière autonome et responsable.<br /></p>",1,,,,0,null,,369,,
MEEF-AM5,MEEF-AM5-N2,"⭐⭐ Intermédiaire","<p dir=""ltr"" style=""text-align:left;"">Maîtrise suffisamment les bases des compétences visées pour agir de façon autonome, anticiper et faire les choix professionnels appropriés. La pertinence de son travail est repérée dans la plupart des situations qu’il rencontre, ainsi que sa déontologie et sa capacité à s’autoévaluer pour améliorer sa pratique.<br /></p>",1,,,,0,null,,370,,
MEEF-AM5,MEEF-AM5-N3,"⭐⭐⭐ Compétent","<p dir=""ltr"" style=""text-align:left;"">Exerce les compétences visées de manière combinée avec efficacité sur la durée. Il opère les choix pertinents et les met en oeuvre de manière efficace et adaptée à la situation professionnelle rencontrée, y compris une situation imprévisible.<br /></p>",1,,,,0,null,,371,,
MEEF-AM5,MEEF-AM5-N4,"⭐⭐⭐⭐ Avancé","<p dir=""ltr"" style=""text-align:left;"">Démontre la capacité à mobiliser les compétences visées de manière inter-reliée pour appréhender et gérer un contexte professionnel complexe, à faire preuve d’ingéniosité pédagogique pour faire évoluer le cadre dans le respect des principes éthiques.<br /></p>",1,,,,0,null,,372,,
,MEEF-AM6,AM6,"<p dir=""ltr"" style=""text-align:left;""><span>Mobilise des compétences communicationnelles</span><br /></p>",1,,,,0,null,,373,,
MEEF-AM6,MEEF-AM6-N1,"⭐ Novice","<p dir=""ltr"" style=""text-align:left;"">Applique le cadre qui lui est fixé pour exercer les compétences visées mais n’est pas en mesure d’opérer, de manière intentionnelle et récurrente, des choix pertinents dans les situations professionnelles rencontrées. Il en appréhende les principaux éléments mais il a besoin de soutien ou de conseil pour construire son enseignement ou ajuster son comportement de manière autonome et responsable.<br /></p>",1,,,,0,null,,374,,
MEEF-AM6,MEEF-AM6-N2,"⭐⭐ Intermédiaire","<p dir=""ltr"" style=""text-align:left;"">Maîtrise suffisamment les bases des compétences visées pour agir de façon autonome, anticiper et faire les choix professionnels appropriés. La pertinence de son travail est repérée dans la plupart des situations qu’il rencontre, ainsi que sa déontologie et sa capacité à s’autoévaluer pour améliorer sa pratique.<br /></p>",1,,,,0,null,,375,,
MEEF-AM6,MEEF-AM6-N3,"⭐⭐⭐ Compétent","<p dir=""ltr"" style=""text-align:left;"">Exerce les compétences visées de manière combinée avec efficacité sur la durée. Il opère les choix pertinents et les met en oeuvre de manière efficace et adaptée à la situation professionnelle rencontrée, y compris une situation imprévisible.<br /></p>",1,,,,0,null,,376,,
MEEF-AM6,MEEF-AM6-N4,"⭐⭐⭐⭐ Avancé","<p dir=""ltr"" style=""text-align:left;"">Démontre la capacité à mobiliser les compétences visées de manière inter-reliée pour appréhender et gérer un contexte professionnel complexe, à faire preuve d’ingéniosité pédagogique pour faire évoluer le cadre dans le respect des principes éthiques.<br /></p>",1,,,,0,null,,377,,
,MEEF-AM7,AM7,"<p dir=""ltr"" style=""text-align:left;""><span>Respecte et fait respecter les principes d’égalité, de laïcité, d’équité, de tolérance et de refus de toute discrimination et agit de façon éthique et responsable</span><br /></p>",1,,,,0,null,,378,,
MEEF-AM7,MEEF-AM7-N1,"⭐ Novice","<p dir=""ltr"" style=""text-align:left;"">Applique le cadre qui lui est fixé pour exercer les compétences visées mais n’est pas en mesure d’opérer, de manière intentionnelle et récurrente, des choix pertinents dans les situations professionnelles rencontrées. Il en appréhende les principaux éléments mais il a besoin de soutien ou de conseil pour construire son enseignement ou ajuster son comportement de manière autonome et responsable.<br /></p>",1,,,,0,null,,379,,
MEEF-AM7,MEEF-AM7-N2,"⭐⭐ Intermédiaire","<p dir=""ltr"" style=""text-align:left;"">Maîtrise suffisamment les bases des compétences visées pour agir de façon autonome, anticiper et faire les choix professionnels appropriés. La pertinence de son travail est repérée dans la plupart des situations qu’il rencontre, ainsi que sa déontologie et sa capacité à s’autoévaluer pour améliorer sa pratique.<br /></p>",1,,,,0,null,,380,,
MEEF-AM7,MEEF-AM7-N3,"⭐⭐⭐ Compétent","<p dir=""ltr"" style=""text-align:left;"">Exerce les compétences visées de manière combinée avec efficacité sur la durée. Il opère les choix pertinents et les met en oeuvre de manière efficace et adaptée à la situation professionnelle rencontrée, y compris une situation imprévisible.<br /></p>",1,,,,0,null,,381,,
MEEF-AM7,MEEF-AM7-N4,"⭐⭐⭐⭐ Avancé","<p dir=""ltr"" style=""text-align:left;"">Démontre la capacité à mobiliser les compétences visées de manière inter-reliée pour appréhender et gérer un contexte professionnel complexe, à faire preuve d’ingéniosité pédagogique pour faire évoluer le cadre dans le respect des principes éthiques.<br /></p>",1,,,,0,null,,382,,
,MEEF-AM8,AM8,"<p dir=""ltr"" style=""text-align:left;""><span>Pilote un projet</span><br /></p>",1,,,,0,null,,383,,
MEEF-AM8,MEEF-AM8-N1,"⭐ Novice","<p dir=""ltr"" style=""text-align:left;"">Applique le cadre qui lui est fixé pour exercer les compétences visées mais n’est pas en mesure d’opérer, de manière intentionnelle et récurrente, des choix pertinents dans les situations professionnelles rencontrées. Il en appréhende les principaux éléments mais il a besoin de soutien ou de conseil pour construire son enseignement ou ajuster son comportement de manière autonome et responsable.<br /></p>",1,,,,0,null,,384,,
MEEF-AM8,MEEF-AM8-N2,"⭐⭐ Intermédiaire","<p dir=""ltr"" style=""text-align:left;"">Maîtrise suffisamment les bases des compétences visées pour agir de façon autonome, anticiper et faire les choix professionnels appropriés. La pertinence de son travail est repérée dans la plupart des situations qu’il rencontre, ainsi que sa déontologie et sa capacité à s’autoévaluer pour améliorer sa pratique.<br /></p>",1,,,,0,null,,385,,
MEEF-AM8,MEEF-AM8-N3,"⭐⭐⭐ Compétent","<p dir=""ltr"" style=""text-align:left;"">Exerce les compétences visées de manière combinée avec efficacité sur la durée. Il opère les choix pertinents et les met en oeuvre de manière efficace et adaptée à la situation professionnelle rencontrée, y compris une situation imprévisible.<br /></p>",1,,,,0,null,,386,,
MEEF-AM8,MEEF-AM8-N4,"⭐⭐⭐⭐ Avancé","<p dir=""ltr"" style=""text-align:left;"">Démontre la capacité à mobiliser les compétences visées de manière inter-reliée pour appréhender et gérer un contexte professionnel complexe, à faire preuve d’ingéniosité pédagogique pour faire évoluer le cadre dans le respect des principes éthiques.<br /></p>",1,,,,0,null,,387,,
